timestep,reward
15,0.1008
236549,0.3636
473934,1.0524
710873,1.4179
946856,2.2094
1179051,2.2602
1412362,2.0339
1645935,2.9052
1879311,2.6951
2109915,3.0264
2343895,2.7678
2574095,2.5493
2806745,3.115
3034655,3.1393
3266075,2.8874
3495333,2.6609
3726053,3.1787
3955456,3.3602
4183601,3.0679
4412985,3.5391
4639129,3.6454
4866457,3.7447
5092974,3.7913
5319454,4.2719
5545080,4.0205
5769915,4.0998
5995224,4.4626
6221788,3.6582
6449383,4.162
6672838,4.4841
6899531,4.6775
7123372,3.9729
7346627,3.7791
7569307,4.0505
7794029,4.1923
8019642,5.0488
8243255,4.6207
8470177,5.0081
8690740,4.2097
8915848,3.885
9138197,4.2882
9360347,4.3983
9583755,3.7054
9805733,4.409
10026449,4.5284
10248754,4.4502
10471825,4.8448
10695653,4.3472
10919893,4.2233
11141824,4.7233
11362447,4.4901
11585696,4.3
11810172,5.1672
12030539,5.0796
12251399,4.911
12472293,5.2477
12694451,4.6811
12915982,4.8212
13138104,4.4365
13359075,4.2687
13581731,3.888
13803167,5.0673
14025459,4.888
14247598,4.5734
14471240,4.4269
14693668,4.7556
14915810,4.3214
15138456,5.5648
15362167,4.792
15583282,5.3833
15803883,4.3669
16027747,5.1112
16251543,4.3956
16472132,4.6016
16693537,4.8233
16914742,4.8711
17135286,5.1481
17358033,4.8845
17581629,4.6007
17803005,4.6083
18026475,5.2012
18247856,5.2413
18472291,4.5013
18695722,4.4947
18917626,5.0707
19138881,4.42
19359272,4.6015
19580570,4.2933
19803546,4.7096
20024866,4.2182
20245305,5.0189
20467288,5.1074
20686426,5.5316
20906479,4.8211
21126959,5.3912
21346293,5.4291
21567734,5.2963
21789432,5.2085
22011400,5.3233
22230254,4.8309
22451287,5.0092
22673469,4.7294
22894354,5.1585
23115779,5.0381
23337407,5.1899
23558388,4.6655
23780789,4.2952
24002229,4.4873
24223746,5.2937
24443839,5.3319
24665334,4.5211
24888007,5.1958
25107456,4.1938
25329332,5.1382
25549781,4.9733
25772235,4.7544
25994285,4.5079
26216768,4.6308
26439407,4.9904
26661212,5.289
26882431,5.0591
27101535,5.1125
27321534,4.623
27542520,4.8882
27764268,5.1737
27986557,4.4678
28209650,4.862
28432408,4.4143
28651962,4.5325
28871212,5.2538
29091294,5.0223
29312173,4.7877
29530496,4.9396
29750074,4.6438
29968882,4.6813
30186669,5.4075
30406159,4.9519
30629020,5.0543
30847256,4.108
31067245,4.7529
31287269,5.0363
31509599,4.6311
31729315,4.6821
31951722,4.4917
32170753,4.6989
32390571,5.3045
32607484,4.965
32827549,4.9605
33049768,4.7263
33270251,4.6878
33489990,4.7472
33708712,4.7884
33928640,5.1015
34147905,5.1099
34367124,5.0769
34588067,5.5676
34808703,4.7662
35029990,4.9332
35250464,4.7164
35470292,5.4366
35689704,4.9672
35911000,5.7762
36132281,4.824
36353866,4.9593
36575348,4.932
36796088,5.5665
37018744,5.6518
37235961,5.0951
37457272,4.9164
37677050,5.0084
37895459,4.7644
38115153,5.7633
38336545,5.2949
38557815,4.8081
38778110,5.0791
38996733,5.3512
39217212,5.0814
39437202,5.0528
39656490,5.0403
39877292,5.143
40097509,4.8519
40320109,4.8723
40538035,4.6227
40757140,4.7186
40977419,4.0177
41198071,4.5265
41415426,5.2509
41634200,4.8124
41853735,4.9003
42073386,4.2477
42296611,4.6399
42517773,4.5116
42736753,4.467
42955090,3.7668
43174161,4.635
43393133,5.3021
43610948,4.9716
43833660,4.8825
44052970,4.8164
44273237,4.733
44494576,4.8279
44711547,5.1622
44930313,5.5875
45151122,4.9132
45372578,4.834
45592122,5.2601
45810749,5.2558
46028202,4.7579
46247739,4.9656
46466161,4.7462
46683326,4.8001
46901249,4.118
47122876,5.8872
47342798,4.8561
47562997,4.5819
47780827,5.5466
47999721,4.9095
48218234,4.5718
48439068,4.5316
48658073,4.8202
48876543,5.1592
49093514,5.2803
49310814,4.4775
49530668,4.6645
49748421,5.34
49965498,5.0629
50185803,5.0144
50404216,4.8988
50621022,4.9217
50840344,5.0671
51060277,4.8987
51279190,4.4129
51500178,5.335
51721306,5.251
51939749,4.6366
52163393,5.5133
52381165,5.4378
52598903,4.7991
52819854,5.1585
53038464,4.8562
53260361,4.2316
53478420,5.0581
53696085,5.7873
53915830,5.0842
54134677,4.8495
54354700,6.096
54574336,5.6965
54794426,4.798
55012413,5.2411
55230601,5.1636
55448624,4.8225
55671580,4.9061
55892671,4.7928
56112288,5.4323
