timestep,reward
15,0.024
48790,0.092
98444,0.045
147472,0.055
197030,0.012
246801,0.031
295260,0.026
344975,0.013
395274,0.015
445076,0.092
494862,0.032
545237,0.042
593602,0.012
642371,0.041
692226,0.052
740748,0.081
788551,0.045
837840,0.082
886518,0.032
935059,0.068
983826,0.094
1031551,0.056
1079507,0.053
1127950,0.096
1176221,0.053
1224214,0.066
1273624,0.086
1322082,0.104
1371372,0.051
1420106,0.09
1469399,0.081
1517470,0.006
1566368,-0.012
1616472,0.039
1665217,0.018
1713207,0.054
1762019,0.066
1810909,0.014
1859545,0.077
1908066,0.055
1956668,0.069
2005500,0.036
2054204,0.097
2102916,0.011
2150955,0.055
2199675,0.054
2248509,0.067
2297378,0.07
2345985,0.04
2395553,0.048
