timestep,reward
13,-4.559
87013,-2.56
177247,-2.35425
264947,-1.3475
352837,-2.358
439997,-2.629
527099,-1.6125
614631,-1.61475
701838,-1.02075
788181,-1.11025
873719,-1.83275
960186,-1.71325
1045673,-1.2995
1129258,-1.43425
1216113,-2.31225
1303184,-1.6615
1388512,-1.38375
1473423,-1.377
1557694,-0.3965
1642056,-1.68
1728953,-0.82425
1814347,-1.29175
1899739,-1.447
1984988,-0.60075
2069326,-1.13425
2154779,-0.00975
2238971,-1.6185
2325081,-0.653
2409098,-0.53425
2493484,0.74975
2576401,-0.119
2660908,0.4795
2745105,0.5145
2828321,0.2415
2912043,0.70475
2995770,0.916
3078321,1.0015
3161690,0.84825
3243897,-0.3535
3326301,0.8445
3409828,1.2825
3493174,1.26875
3577089,0.53925
3661052,1.0475
3744031,0.69375
3826023,0.4195
3906568,0.792
3991477,-0.4815
4073877,0.6695
4156013,0.8
4238431,0.29125
4322647,-0.127
4404812,0.50275
4488728,0.51525
4573532,0.955
4657789,0.571
4740818,0.53775
4824141,0.62425
4907613,-0.66775
4990878,0.68525
5073520,0.58425
5156764,0.669
5239590,-0.678
5322187,1.7865
5404979,0.64775
5488293,1.43325
5569892,0.642
5652698,0.55675
5737495,0.64975
5819627,0.88525
5902281,0.88
5984711,1.3865
6066621,0.779
6150414,0.28125
6233995,0.689
6316876,0.225
6400011,0.072
6483155,1.109
6565997,0.56375
6648884,1.447
6731699,0.349
6815176,0.0085
6899295,0.063
6982165,-0.14925
7064431,1.51725
7146167,0.24425
7229376,0.344
7311894,-0.047
7395684,0.505
7476381,-0.042
7558576,0.159
7641066,0.3125
7724593,0.14
7807604,0.60025
7890636,0.062
7973425,-0.1235
8055643,0.18625
8139077,0.81575
8221780,0.51075
8305457,0.2335
