timestep,reward
14,0.424
50263,0.404
100038,0.752
149949,-0.445
200565,-0.0415
249333,0.5265
298384,0.441
346334,2.3565
394885,-0.2625
444634,1.8205
492793,-1.192
542477,1.456
592145,-0.252
641900,1.2275
691600,-0.056
740535,1.941
790454,2.0865
840048,0.574
888847,-0.0305
937776,0.2875
987307,0.2755
1036353,0.965
1086210,-0.755
1135392,0.864
1184545,0.9245
1233584,0.3605
1282691,-0.248
1331575,-0.71
1381253,1.274
1431074,1.8445
1480878,1.2045
1530336,0.581
1579104,1.043
1628090,1.783
1677320,0.8995
1727140,-0.2325
1776309,-0.4675
1825347,0.4885
1876008,0.4095
1925871,0.067
1975320,0.798
2024512,0.217
2074551,0.12
2124004,-0.565
2173921,0.291
2223396,-1.2205
2271989,-0.885
2321994,0.717
2371508,0.465
2420880,0.658
